PHASE 2 RESULTS: TRAINING WINNERS
================================================================================

Total Entries: 5738
Winners: 1081
Losers: 4657

WINNERS:
--------------------------------------------------------------------------------
2025-08-18 | BEN    | BEN|29.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.45 | Return: 350.0% | Days: 2
2025-08-29 | HBAN   | HBAN|20.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.30 | Return: 200.0% | Days: 1
2025-08-29 | HPQ    | HPQ|23.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 2
2025-08-29 | HST    | HST|14.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-08-29 | IVZ    | IVZ|26.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-08-29 | KHC    | KHC|22.5|2025-10-17|PUT        | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 1
2025-08-29 | KVUE   | KVUE|17.0|2025-10-17|PUT       | Entry: $0.09 | Exit: $0.48 | Return: 433.3% | Days: 4
2025-08-29 | NLY    | NLY|23.0|2025-10-17|CALL       | Entry: $0.03 | Exit: $0.15 | Return: 400.0% | Days: 2
2025-08-29 | SIRI   | SIRI|19.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 2
2025-08-29 | T      | T|25.0|2025-10-17|PUT          | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-08-29 | VZ     | VZ|38.0|2025-10-17|PUT         | Entry: $0.08 | Exit: $0.12 | Return:  50.0% | Days: 1
2025-08-29 | WMT    | WMT|115.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 5
2025-09-03 | AGNC   | AGNC|11.0|2025-10-17|CALL      | Entry: $0.04 | Exit: $0.08 | Return: 100.0% | Days: 2
2025-09-03 | CNH    | CNH|12.5|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 3
2025-09-03 | CPNG   | CPNG|33.0|2025-10-17|CALL      | Entry: $0.09 | Exit: $1.17 | Return: 1200.0% | Days: 3
2025-09-03 | D      | D|65.0|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 4
2025-09-03 | HPQ    | HPQ|23.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 1
2025-09-03 | KHC    | KHC|30.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-03 | KVUE   | KVUE|17.0|2025-10-17|PUT       | Entry: $0.08 | Exit: $0.48 | Return: 500.0% | Days: 3
2025-09-03 | NLY    | NLY|23.0|2025-10-17|CALL       | Entry: $0.04 | Exit: $0.30 | Return: 650.0% | Days: 2
2025-09-03 | O      | O|62.5|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.16 | Return:  60.0% | Days: 3
2025-09-03 | PFE    | PFE|20.0|2025-10-17|PUT        | Entry: $0.03 | Exit: $0.04 | Return:  33.3% | Days: 4
2025-09-03 | T      | T|32.0|2025-10-17|CALL         | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 1
2025-09-03 | USB    | USB|55.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 2
2025-09-03 | WMT    | WMT|115.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 4
2025-09-04 | AGNC   | AGNC|11.0|2025-10-17|CALL      | Entry: $0.05 | Exit: $0.08 | Return:  60.0% | Days: 2
2025-09-04 | CNH    | CNH|12.5|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 2
2025-09-04 | DV     | DV|12.5|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.20 | Return: 100.0% | Days: 1
2025-09-04 | D      | D|65.0|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 3
2025-09-04 | HST    | HST|14.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-04 | KDP    | KDP|25.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.18 | Return:  80.0% | Days: 3
2025-09-04 | MPW    | MPW|5.0|2025-10-17|CALL        | Entry: $0.07 | Exit: $0.09 | Return:  28.6% | Days: 5
2025-09-04 | MS     | MS|180.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.22 | Return: 120.0% | Days: 4
2025-09-04 | NLY    | NLY|23.0|2025-10-17|CALL       | Entry: $0.07 | Exit: $0.30 | Return: 328.6% | Days: 1
2025-09-04 | NU     | NU|17.0|2025-10-17|CALL        | Entry: $0.10 | Exit: $0.21 | Return: 110.0% | Days: 3
2025-09-04 | NWL    | NWL|5.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-04 | O      | O|62.5|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.18 | Return:  80.0% | Days: 2
2025-09-04 | T      | T|25.0|2025-10-17|PUT          | Entry: $0.09 | Exit: $0.14 | Return:  55.6% | Days: 2
2025-09-04 | VZ     | VZ|37.0|2025-10-17|PUT         | Entry: $0.06 | Exit: $0.09 | Return:  50.0% | Days: 2
2025-09-05 | ARMK   | ARMK|33.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-05 | CPNG   | CPNG|33.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $1.17 | Return: 1070.0% | Days: 1
2025-09-05 | CSCO   | CSCO|57.5|2025-10-17|PUT       | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 2
2025-09-05 | CSCO   | CSCO|75.0|2025-10-17|CALL      | Entry: $0.09 | Exit: $0.14 | Return:  55.6% | Days: 4
2025-09-05 | GLW    | GLW|85.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.95 | Return: 850.0% | Days: 3
2025-09-05 | JNJ    | JNJ|200.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-05 | KDP    | KDP|25.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.18 | Return:  80.0% | Days: 2
2025-09-05 | KMI    | KMI|30.0|2025-10-17|CALL       | Entry: $0.08 | Exit: $0.11 | Return:  37.5% | Days: 4
2025-09-05 | MPW    | MPW|4.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 3
2025-09-05 | MPW    | MPW|5.0|2025-10-17|CALL        | Entry: $0.08 | Exit: $0.10 | Return:  25.0% | Days: 5
2025-09-05 | NLY    | NLY|24.0|2025-10-17|CALL       | Entry: $0.05 | Exit: $0.09 | Return:  80.0% | Days: 3
2025-09-05 | NU     | NU|17.0|2025-10-17|CALL        | Entry: $0.10 | Exit: $0.22 | Return: 120.0% | Days: 2
2025-09-05 | SRE    | SRE|65.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 1
2025-09-05 | T      | T|24.0|2025-10-17|PUT          | Entry: $0.07 | Exit: $0.09 | Return:  28.6% | Days: 1
2025-09-05 | T      | T|25.0|2025-10-17|PUT          | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-05 | VZ     | VZ|37.0|2025-10-17|PUT         | Entry: $0.07 | Exit: $0.09 | Return:  28.6% | Days: 1
2025-09-05 | VZ     | VZ|38.0|2025-10-17|PUT         | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 1
2025-09-05 | WY     | WY|22.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 3
2025-09-05 | XOM    | XOM|130.0|2025-10-17|CALL      | Entry: $0.07 | Exit: $0.09 | Return:  28.6% | Days: 3
2025-09-08 | BAC    | BAC|57.5|2025-10-17|CALL       | Entry: $0.08 | Exit: $0.11 | Return:  37.5% | Days: 2
2025-09-08 | BMY    | BMY|55.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 3
2025-09-08 | CSCO   | CSCO|75.0|2025-10-17|CALL      | Entry: $0.09 | Exit: $0.14 | Return:  55.6% | Days: 3
2025-09-08 | CSCO   | CSCO|77.5|2025-10-17|CALL      | Entry: $0.04 | Exit: $0.05 | Return:  25.0% | Days: 4
2025-09-08 | D      | D|65.0|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-08 | HAL    | HAL|26.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.17 | Return:  70.0% | Days: 3
2025-09-08 | HPE    | HPE|28.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 1
2025-09-08 | HPQ    | HPQ|33.0|2025-10-24|CALL       | Entry: $0.10 | Exit: $0.61 | Return: 510.0% | Days: 2
2025-09-08 | KEY    | KEY|21.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-08 | KHC    | KHC|23.0|2025-10-24|PUT        | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-08 | KMI    | KMI|30.0|2025-10-17|CALL       | Entry: $0.06 | Exit: $0.12 | Return: 100.0% | Days: 3
2025-09-08 | KVUE   | KVUE|15.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.17 | Return:  70.0% | Days: 2
2025-09-08 | MPW    | MPW|4.0|2025-10-17|PUT         | Entry: $0.09 | Exit: $0.13 | Return:  44.4% | Days: 2
2025-09-08 | MPW    | MPW|5.0|2025-10-17|CALL        | Entry: $0.07 | Exit: $0.35 | Return: 400.0% | Days: 3
2025-09-08 | MPW    | MPW|5.0|2025-10-24|CALL        | Entry: $0.09 | Exit: $0.27 | Return: 200.0% | Days: 5
2025-09-08 | MPW    | MPW|5.5|2025-10-17|CALL        | Entry: $0.03 | Exit: $0.15 | Return: 400.0% | Days: 5
2025-09-08 | MRK    | MRK|100.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 4
2025-09-08 | MSFT   | MSFT|595.0|2025-10-17|CALL     | Entry: $0.10 | Exit: $0.24 | Return: 140.0% | Days: 2
2025-09-08 | NEE    | NEE|82.5|2025-10-17|CALL       | Entry: $0.09 | Exit: $0.15 | Return:  66.7% | Days: 3
2025-09-08 | NLY    | NLY|19.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.23 | Return: 130.0% | Days: 5
2025-09-08 | NU     | NU|18.0|2025-10-17|CALL        | Entry: $0.06 | Exit: $0.11 | Return:  83.3% | Days: 3
2025-09-08 | NU     | NU|18.0|2025-10-24|CALL        | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 4
2025-09-08 | NWL    | NWL|5.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-08 | SIRI   | SIRI|20.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 3
2025-09-08 | USB    | USB|55.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-08 | WY     | WY|22.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 2
2025-09-08 | WY     | WY|29.0|2025-10-17|CALL        | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 4
2025-09-08 | XOM    | XOM|125.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.17 | Return:  70.0% | Days: 1
2025-09-09 | BAC    | BAC|57.5|2025-10-17|CALL       | Entry: $0.08 | Exit: $0.11 | Return:  37.5% | Days: 1
2025-09-09 | CSCO   | CSCO|75.0|2025-10-17|CALL      | Entry: $0.08 | Exit: $0.14 | Return:  75.0% | Days: 2
2025-09-09 | DBX    | DBX|35.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 5
2025-09-09 | HSIC   | HSIC|80.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.24 | Return: 140.0% | Days: 1
2025-09-09 | KMI    | KMI|30.0|2025-10-17|CALL       | Entry: $0.07 | Exit: $0.12 | Return:  71.4% | Days: 2
2025-09-09 | KVUE   | KVUE|15.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.17 | Return:  70.0% | Days: 1
2025-09-09 | MA     | MA|700.0|2025-10-17|CALL       | Entry: $0.09 | Exit: $0.12 | Return:  33.3% | Days: 1
2025-09-09 | MPW    | MPW|4.0|2025-10-17|PUT         | Entry: $0.09 | Exit: $0.13 | Return:  44.4% | Days: 1
2025-09-09 | MPW    | MPW|5.0|2025-10-17|CALL        | Entry: $0.07 | Exit: $0.35 | Return: 400.0% | Days: 2
2025-09-09 | MPW    | MPW|5.0|2025-10-24|CALL        | Entry: $0.08 | Exit: $0.27 | Return: 237.5% | Days: 2
2025-09-09 | MPW    | MPW|5.5|2025-10-17|CALL        | Entry: $0.04 | Exit: $0.15 | Return: 275.0% | Days: 4
2025-09-09 | MSFT   | MSFT|600.0|2025-10-17|CALL     | Entry: $0.10 | Exit: $0.22 | Return: 120.0% | Days: 4
2025-09-09 | MS     | MS|180.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.23 | Return: 130.0% | Days: 2
2025-09-09 | NLY    | NLY|19.0|2025-10-17|PUT        | Entry: $0.08 | Exit: $0.23 | Return: 187.5% | Days: 4
2025-09-09 | NLY    | NLY|24.0|2025-10-17|CALL       | Entry: $0.05 | Exit: $0.09 | Return:  80.0% | Days: 1
2025-09-09 | NU     | NU|18.0|2025-10-17|CALL        | Entry: $0.07 | Exit: $0.11 | Return:  57.1% | Days: 3
2025-09-09 | NWL    | NWL|5.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-09 | OHI    | OHI|46.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-09 | REXR   | REXR|35.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 2
2025-09-09 | TFC    | TFC|52.5|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.29 | Return: 190.0% | Days: 2
2025-09-09 | T      | T|32.0|2025-10-17|CALL         | Entry: $0.08 | Exit: $0.10 | Return:  25.0% | Days: 1
2025-09-09 | VTRS   | VTRS|9.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 5
2025-09-09 | WEC    | WEC|120.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.75 | Return: 650.0% | Days: 2
2025-09-09 | WMB    | WMB|65.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 2
2025-09-10 | CPNG   | CPNG|28.0|2025-10-17|PUT       | Entry: $0.09 | Exit: $0.15 | Return:  66.7% | Days: 1
2025-09-10 | CSCO   | CSCO|57.5|2025-10-17|PUT       | Entry: $0.07 | Exit: $0.09 | Return:  28.6% | Days: 3
2025-09-10 | CSCO   | CSCO|75.0|2025-10-17|CALL      | Entry: $0.09 | Exit: $0.14 | Return:  55.6% | Days: 1
2025-09-10 | GEHC   | GEHC|87.5|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.18 | Return:  80.0% | Days: 2
2025-09-10 | INVH   | INVH|32.5|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 2
2025-09-10 | KDP    | KDP|32.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-10 | KMI    | KMI|30.0|2025-10-17|CALL       | Entry: $0.07 | Exit: $0.12 | Return:  71.4% | Days: 1
2025-09-10 | KVUE   | KVUE|15.0|2025-10-17|PUT       | Entry: $0.08 | Exit: $0.12 | Return:  50.0% | Days: 3
2025-09-10 | KVUE   | KVUE|15.0|2025-10-24|PUT       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-10 | MPW    | MPW|5.0|2025-10-17|CALL        | Entry: $0.07 | Exit: $0.35 | Return: 400.0% | Days: 1
2025-09-10 | MPW    | MPW|5.0|2025-10-24|CALL        | Entry: $0.10 | Exit: $0.27 | Return: 170.0% | Days: 3
2025-09-10 | MPW    | MPW|5.5|2025-10-17|CALL        | Entry: $0.04 | Exit: $0.15 | Return: 275.0% | Days: 3
2025-09-10 | MPW    | MPW|5.5|2025-10-24|CALL        | Entry: $0.05 | Exit: $0.21 | Return: 320.0% | Days: 3
2025-09-10 | MRK    | MRK|100.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 2
2025-09-10 | M      | M|20.0|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 5
2025-09-10 | NLY    | NLY|19.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.23 | Return: 130.0% | Days: 3
2025-09-10 | NWL    | NWL|5.0|2025-10-17|PUT         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-10 | PFE    | PFE|21.5|2025-10-24|PUT        | Entry: $0.08 | Exit: $0.14 | Return:  75.0% | Days: 1
2025-09-10 | REXR   | REXR|35.0|2025-10-17|PUT       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-10 | T      | T|33.0|2025-10-24|CALL         | Entry: $0.10 | Exit: $0.28 | Return: 180.0% | Days: 3
2025-09-10 | VZ     | VZ|35.0|2025-10-17|PUT         | Entry: $0.04 | Exit: $0.05 | Return:  25.0% | Days: 2
2025-09-10 | XLU    | XLU|90.0|2025-10-17|CALL       | Entry: $0.09 | Exit: $0.21 | Return: 133.3% | Days: 1
2025-09-10 | XLU    | XLU|91.0|2025-10-17|CALL       | Entry: $0.07 | Exit: $0.15 | Return: 114.3% | Days: 3
2025-09-11 | BAC    | BAC|57.5|2025-10-17|CALL       | Entry: $0.09 | Exit: $0.13 | Return:  44.4% | Days: 5
2025-09-11 | BAC    | BAC|60.0|2025-10-17|CALL       | Entry: $0.04 | Exit: $0.05 | Return:  25.0% | Days: 5
2025-09-11 | BEN    | BEN|27.5|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 4
2025-09-11 | CMCSA  | CMCSA|27.5|2025-10-17|PUT      | Entry: $0.08 | Exit: $0.11 | Return:  37.5% | Days: 3
2025-09-11 | ED     | ED|110.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-11 | GAP    | GAP|20.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.23 | Return: 130.0% | Days: 2
2025-09-11 | GEHC   | GEHC|90.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.16 | Return:  60.0% | Days: 3
2025-09-11 | HPQ    | HPQ|33.0|2025-10-24|CALL       | Entry: $0.08 | Exit: $0.61 | Return: 662.5% | Days: 1
2025-09-11 | INVH   | INVH|32.5|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-11 | IVZ    | IVZ|26.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 1
2025-09-11 | JNJ    | JNJ|200.0|2025-10-17|CALL      | Entry: $0.05 | Exit: $0.07 | Return:  40.0% | Days: 4
2025-09-11 | MPW    | MPW|5.0|2025-10-17|CALL        | Entry: $0.09 | Exit: $0.35 | Return: 288.9% | Days: 2
2025-09-11 | MPW    | MPW|5.0|2025-10-24|CALL        | Entry: $0.10 | Exit: $0.27 | Return: 170.0% | Days: 2
2025-09-11 | MPW    | MPW|5.5|2025-10-17|CALL        | Entry: $0.04 | Exit: $0.15 | Return: 275.0% | Days: 2
2025-09-11 | MPW    | MPW|5.5|2025-10-24|CALL        | Entry: $0.06 | Exit: $0.21 | Return: 250.0% | Days: 2
2025-09-11 | MPW    | MPW|5.5|2025-10-31|CALL        | Entry: $0.08 | Exit: $0.23 | Return: 187.5% | Days: 1
2025-09-11 | MRK    | MRK|100.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-11 | M      | M|20.0|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 4
2025-09-11 | NLY    | NLY|19.0|2025-10-17|PUT        | Entry: $0.09 | Exit: $0.23 | Return: 155.6% | Days: 2
2025-09-11 | OHI    | OHI|38.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-11 | OXY    | OXY|55.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 4
2025-09-11 | O      | O|65.0|2025-10-17|CALL         | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 5
2025-09-11 | PFE    | PFE|20.0|2025-10-17|PUT        | Entry: $0.04 | Exit: $0.05 | Return:  25.0% | Days: 2
2025-09-11 | PFE    | PFE|22.0|2025-10-17|PUT        | Entry: $0.08 | Exit: $0.11 | Return:  37.5% | Days: 5
2025-09-11 | VICI   | VICI|35.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $2.53 | Return: 2430.0% | Days: 4
2025-09-11 | VZ     | VZ|35.0|2025-10-17|PUT         | Entry: $0.03 | Exit: $0.05 | Return:  66.7% | Days: 1
2025-09-11 | VZ     | VZ|48.0|2025-10-17|CALL        | Entry: $0.06 | Exit: $0.15 | Return: 150.0% | Days: 5
2025-09-11 | VZ     | VZ|49.0|2025-10-17|CALL        | Entry: $0.05 | Exit: $0.23 | Return: 360.0% | Days: 5
2025-09-11 | VZ     | VZ|50.0|2025-10-17|CALL        | Entry: $0.04 | Exit: $0.05 | Return:  25.0% | Days: 2
2025-09-11 | WBD    | WBD|16.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $3.30 | Return: 3200.0% | Days: 1
2025-09-11 | WMT    | WMT|120.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.46 | Return: 360.0% | Days: 5
2025-09-11 | WY     | WY|29.0|2025-10-17|CALL        | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-11 | XOM    | XOM|135.0|2025-10-17|CALL      | Entry: $0.04 | Exit: $0.25 | Return: 525.0% | Days: 2
2025-09-12 | AAPL   | AAPL|280.0|2025-10-17|CALL     | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 3
2025-09-12 | BAC    | BAC|57.5|2025-10-17|CALL       | Entry: $0.09 | Exit: $0.16 | Return:  77.8% | Days: 4
2025-09-12 | BAC    | BAC|60.0|2025-10-17|CALL       | Entry: $0.04 | Exit: $0.05 | Return:  25.0% | Days: 4
2025-09-12 | BEN    | BEN|27.5|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 3
2025-09-12 | CLX    | CLX|145.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.20 | Return: 100.0% | Days: 3
2025-09-12 | CSCO   | CSCO|75.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 5
2025-09-12 | FE     | FE|47.0|2025-10-17|CALL        | Entry: $0.10 | Exit: $0.15 | Return:  50.0% | Days: 2
2025-09-12 | FLO    | FLO|12.5|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.13 | Return:  30.0% | Days: 5
2025-09-12 | GAP    | GAP|27.0|2025-10-17|CALL       | Entry: $0.09 | Exit: $0.22 | Return: 144.4% | Days: 2
2025-09-12 | GEHC   | GEHC|90.0|2025-10-17|CALL      | Entry: $0.10 | Exit: $0.16 | Return:  60.0% | Days: 2
2025-09-12 | GM     | GM|70.0|2025-10-17|CALL        | Entry: $0.10 | Exit: $0.42 | Return: 320.0% | Days: 3
2025-09-12 | KR     | KR|57.5|2025-10-17|PUT         | Entry: $0.08 | Exit: $0.11 | Return:  37.5% | Days: 2
2025-09-12 | LNC    | LNC|35.0|2025-10-17|PUT        | Entry: $0.10 | Exit: $0.27 | Return: 170.0% | Days: 2
2025-09-12 | MGM    | MGM|41.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.18 | Return:  80.0% | Days: 1
2025-09-12 | MOS    | MOS|40.0|2025-10-17|CALL       | Entry: $0.10 | Exit: $0.14 | Return:  40.0% | Days: 1
2025-09-12 | MPW    | MPW|4.5|2025-10-17|PUT         | Entry: $0.08 | Exit: $0.13 | Return:  62.5% | Days: 1
2025-09-12 | MPW    | MPW|4.5|2025-10-24|PUT         | Entry: $0.10 | Exit: $0.16 | Return:  60.0% | Days: 2
